zip_code,area_name,transportation_risk_rate,underinsured_rate,limited_english_rate,telehealth_adoption_rate
60601,Chicago ZIP 60601,0.418,0.263,0.349,0.454
60602,Chicago ZIP 60602,0.553,0.096,0.383,0.555
60603,Chicago ZIP 60603,0.226,0.342,0.398,0.417
60604,Chicago ZIP 60604,0.38,0.252,0.105,0.704
60605,Chicago ZIP 60605,0.206,0.351,0.142,0.551
60606,Chicago ZIP 60606,0.331,0.392,0.146,0.633
60607,Chicago ZIP 60607,0.293,0.225,0.312,0.444
60608,Chicago ZIP 60608,0.195,0.255,0.065,0.554
60609,Chicago ZIP 60609,0.352,0.071,0.116,0.538
60610,Chicago ZIP 60610,0.361,0.55,0.101,0.423
60611,Chicago ZIP 60611,0.099,0.164,0.395,0.382
60612,Chicago ZIP 60612,0.286,0.316,0.126,0.722
60613,Chicago ZIP 60613,0.487,0.085,0.269,0.718
60614,Chicago ZIP 60614,0.244,0.162,0.331,0.418
60615,Chicago ZIP 60615,0.244,0.352,0.192,0.771
60616,Chicago ZIP 60616,0.187,0.385,0.269,0.576
60617,Chicago ZIP 60617,0.136,0.322,0.119,0.931
60618,Chicago ZIP 60618,0.191,0.155,0.253,0.29
60619,Chicago ZIP 60619,0.24,0.296,0.199,0.289
60620,Chicago ZIP 60620,0.46,0.485,0.188,0.306
